dt,open,high,low,close,vol
2014-08-13,33.24,34.15,33.23,34.1,36291008.0
2014-08-14,34.05,34.23,33.74,33.94,25457954.0
2014-08-15,34.1,34.21,33.71,34.17,28582224.0
2014-08-16,34.1,34.21,33.71,34.17,28582224.0
2014-08-17,34.1,34.21,33.71,34.17,28582224.0
2014-08-18,34.26,34.47,33.98,34.41,27233549.0
2014-08-19,34.5,34.5,34.25,34.34,29283445.0
2014-08-20,34.23,34.51,34.18,34.5,27142650.0
2014-08-21,34.46,35.19,34.45,35.15,37164868.0
2014-08-22,35.2,35.2,34.91,34.94,21197845.0
2014-08-23,35.2,35.2,34.91,34.94,21197845.0
2014-08-24,35.2,35.2,34.91,34.94,21197845.0
2014-08-25,35.09,35.15,34.65,34.81,18614486.0
2014-08-26,34.79,35.05,34.69,34.8,19664736.0
2014-08-27,34.89,34.94,34.63,34.79,17168931.0
2014-08-28,34.61,34.81,34.61,34.65,18908864.0
2014-08-29,34.81,34.94,34.67,34.92,32305331.0
2014-08-30,34.81,34.94,34.67,34.92,32305331.0
2014-08-31,34.81,34.94,34.67,34.92,32305331.0
2014-09-01,34.81,34.94,34.67,34.92,32305331.0
2014-09-02,34.76,34.91,34.43,34.57,32095584.0
2014-09-03,34.82,34.88,34.45,34.57,26668973.0
2014-09-04,34.53,35.09,34.52,34.9,27633583.0
2014-09-05,34.92,35.12,34.83,35.0,20842220.0
2014-09-06,34.92,35.12,34.83,35.0,20842220.0
2014-09-07,34.92,35.12,34.83,35.0,20842220.0
2014-09-08,34.96,35.56,34.88,35.33,24860766.0
2014-09-09,35.29,35.29,34.85,34.91,22334672.0
2014-09-10,34.85,35.13,34.67,35.02,19964378.0
2014-09-11,34.79,35.02,34.53,35.02,21958239.0
2014-09-12,34.9,34.91,34.5,34.62,26733700.0
2014-09-13,34.9,34.91,34.5,34.62,26733700.0
2014-09-14,34.9,34.91,34.5,34.62,26733700.0
2014-09-15,34.71,34.77,34.23,34.54,22438275.0
2014-09-16,34.47,35.08,34.47,34.93,20878492.0
2014-09-17,34.91,35.2,34.74,34.98,26278958.0
2014-09-18,35.12,35.17,34.86,35.17,23815486.0
2014-09-19,35.16,35.22,34.82,34.82,46860142.0
2014-09-20,35.16,35.22,34.82,34.82,46860142.0
2014-09-21,35.16,35.22,34.82,34.82,46860142.0
2014-09-22,34.78,35.03,34.55,34.71,25448163.0
2014-09-23,34.71,34.71,34.38,34.42,25691469.0
2014-09-24,34.4,34.85,34.37,34.75,18829270.0
2014-09-25,34.68,34.79,33.88,34.14,34644687.0
2014-09-26,34.26,34.36,33.63,34.26,25883498.0
2014-09-27,34.26,34.36,33.63,34.26,25883498.0
2014-09-28,34.26,34.36,33.63,34.26,25883498.0
2014-09-29,34.06,34.99,33.94,34.9,29003106.0
2014-09-30,34.9,35.0,34.41,34.82,35274555.0
2014-10-01,34.61,34.78,33.84,33.99,35095646.0
2014-10-02,33.96,34.0,33.26,33.52,32911575.0
2014-10-03,33.66,34.18,33.47,34.03,25834842.0
2014-10-04,33.66,34.18,33.47,34.03,25834842.0
2014-10-05,33.66,34.18,33.47,34.03,25834842.0
2014-10-06,34.15,34.48,33.87,34.11,24323080.0
2014-10-07,34.04,34.05,33.42,33.47,25972716.0
2014-10-08,33.49,34.37,33.14,34.27,34963367.0
2014-10-09,34.15,34.43,33.58,33.62,28192889.0
2014-10-10,32.62,32.86,30.5,31.91,80917567.0
2014-10-11,32.62,32.86,30.5,31.91,80917567.0
2014-10-12,32.62,32.86,30.5,31.91,80917567.0
2014-10-13,31.72,32.37,31.47,31.47,42117454.0
2014-10-14,31.99,32.66,31.71,32.14,68671035.0
2014-10-15,30.54,31.65,29.65,31.28,92309007.0
2014-10-16,30.89,31.51,30.75,30.85,47787439.0
2014-10-17,31.2,31.71,30.97,31.38,37504513.0
2014-10-18,31.2,31.71,30.97,31.38,37504513.0
2014-10-19,31.2,31.71,30.97,31.38,37504513.0
2014-10-20,31.04,31.7,30.9,31.58,30523697.0
2014-10-21,31.67,32.62,31.58,32.61,33281716.0
2014-10-22,32.66,32.87,32.22,32.27,26725598.0
2014-10-23,32.72,32.91,32.6,32.69,22255305.0
2014-10-24,32.72,33.33,32.57,33.18,27814900.0
2014-10-25,32.72,33.33,32.57,33.18,27814900.0
2014-10-26,32.72,33.33,32.57,33.18,27814900.0
2014-10-27,33.08,33.3,32.77,33.2,23751948.0
2014-10-28,33.23,33.75,33.23,33.74,21859946.0
2014-10-29,33.76,33.97,33.51,33.92,24615225.0
2014-10-30,33.58,33.61,32.4,32.58,55217857.0
2014-10-31,33.74,34.01,33.18,34.01,52089698.0
2014-11-01,33.74,34.01,33.18,34.01,52089698.0
2014-11-02,33.74,34.01,33.18,34.01,52089698.0
2014-11-03,33.81,34.48,33.79,34.31,28703617.0
2014-11-04,34.25,34.78,34.2,34.54,34695928.0
2014-11-05,34.05,34.1,33.6,33.76,34705503.0
2014-11-06,33.69,34.23,33.41,33.82,25240559.0
2014-11-07,33.98,34.0,33.19,33.58,27604495.0
2014-11-08,33.98,34.0,33.19,33.58,27604495.0
2014-11-09,33.98,34.0,33.19,33.58,27604495.0
2014-11-10,33.43,33.49,33.08,33.26,30653627.0
