dt,open,high,low,close,volume,sentiment_score
2023-11-15,39.585,40.84,39.58,40.61,47392143.0,0.30319219999999997
2023-11-16,41.0,43.395,40.82,43.35,86405694.0,0.2464175
2023-11-17,42.91,43.81,42.56,43.81,49749721.0,0.09364320000000001
2023-11-20,43.78,44.93,43.78,44.74,44596396.0,0.3267692857142857
2023-11-21,44.5,44.6612,43.3,43.64,37252056.0,0.11454990000000001
2023-11-22,44.03,44.63,43.54,43.67,31490545.0,0.11724358333333333
2023-11-24,43.68,44.0,43.61,43.96,13037105.0,0.10377079999999998
2023-11-27,43.65,44.545,43.65,44.08,33339937.0,0.17425628571428572
2023-11-28,43.69,44.3827,43.66,44.23,24548874.0,0.1678934
2023-11-29,44.6,45.34,44.6,44.94,38982026.0,0.2601968
2023-11-30,44.65,45.09,44.41,44.7,46262971.0,0.12886190909090908
2023-12-01,44.36,44.36,42.86,43.74,43928371.0,0.120526
2023-12-04,43.3,43.31,41.685,42.35,50417587.0,0.17555591666666667
2023-12-05,41.91,42.29,41.61,41.92,31859318.0,0.13683672727272728
2023-12-06,42.48,42.59,41.17,41.27,31904121.0,0.07652244444444445
2023-12-07,41.75,42.435,41.1801,42.15,29118697.0,0.15758566666666665
2023-12-08,41.84,42.955,41.81,42.7,42814959.0,0.18178666666666668
2023-12-11,43.16,44.73,43.08,44.54,48288156.0,0.17818842857142858
2023-12-12,44.36,44.44,43.63,44.04,31452163.0,0.17931554545454545
2023-12-13,44.08,44.72,43.33,44.57,35216050.0,0.15197283333333333
2023-12-14,45.01,47.07,44.65,45.18,70620765.0,0.20359293333333334
2023-12-15,45.94,47.27,45.67,46.16,84583405.0,0.2487162380952381
2023-12-18,46.15,46.23,45.4,45.69,27895652.0,0.1824503076923077
2023-12-19,45.6,46.68,45.51,46.66,34766463.0,0.1995277142857143
2023-12-20,46.64,46.95,45.7,45.76,38159137.0,0.2623596
2023-12-21,46.48,47.12,46.02,47.08,28320463.0,0.194256875
2023-12-22,47.25,48.1557,47.2,48.0,30095727.0,0.22939557142857142
2023-12-26,48.92,50.515,48.71,50.5,60287408.0,0.2725644761904762
2023-12-27,50.63,51.28,50.19,50.76,51859798.0,0.22524114285714286
2023-12-28,50.81,50.87,50.16,50.39,27705233.0,0.25502433333333335
2024-01-02,49.2,49.38,47.4527,47.8,45905728.0,0.1151117
2024-01-03,47.1,47.81,46.8,47.05,35858434.0,0.1572985
2024-01-04,45.715,47.16,45.24,46.87,47797812.0,0.16708669999999998
2024-01-05,47.03,47.83,46.635,46.89,34197720.0,0.169959375
2024-01-08,47.07,48.76,46.97,48.45,42135127.0,0.11770725
2024-01-09,48.01,48.56,47.795,48.05,30097005.0,0.15622566666666668
2024-01-10,48.24,48.3,46.94,47.47,31480186.0,0.21047149999999998
2024-01-11,47.44,47.84,46.73,47.64,31707881.0,0.1490174
2024-01-12,47.6,47.67,46.61,47.12,27587902.0,0.019146714285714288
2024-01-16,46.98,47.22,46.38,47.06,43720666.0,0.14269983333333333
2024-01-17,46.4151,46.4151,45.65,46.06,33488015.0,0.09274114285714286
2024-01-18,47.03,47.57,46.17,46.74,46681348.0,0.1307081111111111
2024-01-19,47.0,48.76,46.44,48.15,55979796.0,0.10412044444444445
2024-01-22,48.85,49.17,47.64,48.22,45639521.0,0.17186992857142855
2024-01-23,48.12,48.94,47.32,48.89,37224140.0,0.143861875
2024-01-24,49.17,49.77,48.265,49.09,48043674.0,0.11492200000000001
2024-01-25,50.0,50.3,48.97,49.55,84845086.0,0.12784390909090912
2024-01-26,44.18,45.41,43.35,43.65,127665287.0,0.06304915151515152
2024-01-29,43.71,43.99,42.81,43.84,51790863.0,0.005948888888888894
2024-01-30,43.67,43.82,42.89,42.92,47958762.0,0.17535775
2024-01-31,42.57,43.785,42.36,43.08,51584247.0,0.23904053333333333
2024-02-01,43.15,43.57,42.485,43.36,38819855.0,0.21693600000000002
2024-02-02,43.0,43.14,41.6,42.6,53683500.0,0.11703725000000001
2024-02-05,42.62,43.15,42.425,42.77,28890264.0,0.0643066
2024-02-06,42.7,42.78,42.14,42.74,34068216.0,0.14292799999999997
2024-02-07,42.89,43.095,42.55,42.78,34269246.0,-0.258924
2024-02-08,42.72,42.97,42.33,42.5,33206470.0,0.008342
2024-02-09,42.55,43.52,42.395,43.31,51192958.0,0.1557848888888889
2024-02-12,43.39,45.04,43.32,44.03,51107349.0,0.150064
2024-02-13,43.0,43.63,42.76,43.16,36622233.0,0.145448
2024-02-14,43.82,44.29,43.39,44.19,36186233.0,0.15049275
2024-02-15,44.755,45.27,44.02,44.05,44024507.0,0.0603289
2024-02-16,44.03,44.2199,43.12,43.51,29975301.0,0.2119795
2024-02-20,44.26,45.17,43.42,44.52,61514136.0,0.18780760000000002
2024-02-21,44.48,44.69,43.08,43.47,57714970.0,0.2808525
2024-02-22,44.68,44.68,42.53,42.98,62809318.0,0.18955133333333332
2024-02-23,43.125,43.51,42.66,42.99,33810714.0,-0.015917624999999998
2024-02-26,43.5,43.68,42.82,42.99,27035379.0,0.0636494
2024-02-27,43.25,43.265,42.51,42.73,25126372.0,0.023685499999999988
2024-02-28,42.44,42.45,41.91,41.99,26928470.0,0.218843
2024-02-29,42.37,43.15,42.3551,43.05,48875120.0,0.136414
2024-03-01,43.41,44.2698,43.13,43.82,41426072.0,0.07738228571428572
2024-03-04,44.27,46.61,43.85,45.61,59990811.0,0.138206
2024-03-05,44.56,44.8675,42.69,43.16,56655135.0,0.15881914285714285
2024-03-06,43.93,45.505,43.555,44.51,52652045.0,0.077167
2024-03-07,45.55,46.4199,45.18,46.15,50378153.0,0.07322214285714286
2024-03-08,46.44,46.6277,44.0,44.0,54916599.0,0.1812923333333333
2024-03-11,43.87,44.93,43.66,44.86,34729394.0,0.11525528571428571
2024-03-12,45.06,45.265,44.46,45.24,31527907.0,0.1399564
2024-03-13,44.51,44.98,43.2,43.23,52970316.0,0.1512454
2024-03-14,43.23,43.35,42.51,42.75,37326875.0,0.051708000000000004
2024-03-15,42.45,43.15,42.35,42.64,66952857.0,0.11324685714285714
2024-03-18,43.09,43.38,42.595,42.71,27668282.0,0.247649
2024-03-19,42.25,42.29,41.44,42.05,34672950.0,0.062054750000000006
2024-03-20,42.99,43.01,41.41,42.2,74864992.0,0.21716272727272729
2024-03-21,42.99,43.6,42.32,42.42,50807592.0,0.1247939090909091
2024-03-22,42.25,42.8,42.09,42.57,28503057.0,0.15837020000000002
2024-03-25,40.89,42.215,40.57,41.83,47276531.0,-0.021139642857142853
2024-03-26,41.95,42.265,41.655,41.99,39109651.0,0.1348673
2024-03-27,42.54,43.83,42.5,43.77,51017828.0,0.20557685714285714
2024-03-28,43.76,44.6,43.71,44.17,54204194.0,0.12366857142857143
2024-04-01,44.29,45.41,44.18,44.52,31146811.0,0.2289155
2024-04-02,43.925,44.08,43.5,43.94,30957431.0,0.18429833333333334
2024-04-03,41.4,41.65,40.22,40.33,83084591.0,0.047845149999999996
2024-04-04,40.59,40.7798,39.7,39.73,56408228.0,0.10814166666666668
2024-04-05,39.35,39.46,38.51,38.71,66224416.0,0.0008247999999999977
2024-04-08,38.64,38.86,37.91,37.98,56319206.0,-0.020352000000000006
2024-04-09,38.05,38.58,37.325,38.33,77865990.0,0.12029509090909091
2024-04-10,38.02,38.2211,37.02,37.2,51108380.0,0.1626614705882353
2024-04-11,37.43,37.67,37.08,37.63,41909086.0,0.1356938
2024-04-12,36.69,36.7,35.605,35.69,80254789.0,0.07503807692307692
2024-04-15,36.04,36.7,35.89,36.31,50751563.0,0.1715128
2024-04-16,36.27,36.51,35.764,36.26,30607502.0,0.07253111111111112
2024-04-17,36.1,36.1297,35.37,35.68,41173345.0,0.1924971818181818
2024-04-18,35.42,35.66,34.77,35.04,42334395.0,0.09692963636363636
2024-04-19,35.13,35.13,34.18,34.2,59070310.0,0.09492214285714286
2024-04-22,34.415,34.57,34.075,34.41,39909927.0,0.1586704
2024-04-23,34.335,34.6,34.18,34.28,46834042.0,-0.016554750000000007
2024-04-24,34.86,35.18,34.34,34.5,53261096.0,0.1840925
2024-04-25,34.56,35.295,34.5,35.11,66549403.0,0.12243192857142857
2024-04-26,31.78,32.24,30.64,31.88,119742494.0,0.10401580000000002
2024-04-29,31.86,31.91,31.07,31.36,58533264.0,-0.110198
2024-04-30,31.04,31.175,30.42,30.47,72346359.0,-0.13180716666666667
2024-05-01,30.17,31.035,30.02,30.37,60654760.0,-0.06392922222222222
2024-05-02,30.59,30.67,30.19,30.51,50899442.0,-0.06904183333333334
2024-05-03,30.98,31.055,30.7,30.9,36794828.0,0.082177
2024-05-06,31.115,31.2,30.73,30.97,36185572.0,0.04534622222222222
2024-05-07,31.09,31.45,30.61,30.68,44683401.0,0.0020550000000000013
2024-05-08,30.0,30.15,29.73,30.0,63734597.0,-0.045426
2024-05-09,29.93,30.385,29.805,30.09,45003402.0,-0.005505250000000002
2024-05-10,30.33,30.455,29.84,29.85,42931290.0,0.11639036363636364
2024-05-13,30.03,31.13,30.0,30.51,51459143.0,0.068125
2024-05-14,30.62,31.11,30.61,31.05,47759855.0,0.224429
2024-05-15,31.38,31.4,30.81,31.27,36992927.0,-0.020620700000000002
2024-05-16,31.63,32.26,31.52,32.03,47752828.0,0.074401
2024-05-17,32.06,32.11,31.59,31.83,41449777.0,0.0218335
2024-05-20,31.85,32.42,31.76,32.1,31989000.0,0.002514454545454545
2024-05-21,31.98,32.24,31.62,31.74,42975363.0,0.08005033333333333
2024-05-22,31.91,32.066,31.095,31.42,36706435.0,0.124202
