dt,sym,open,high,low,close,vol
2012-08-13,INTC,26.76,26.83,26.41,26.69,23623918.0
2012-08-14,INTC,26.8,26.81,26.38,26.48,27477260.0
2012-08-15,INTC,26.23,26.47,26.19,26.27,26081909.0
2012-08-16,INTC,26.44,26.65,26.34,26.59,25702363.0
2012-08-17,INTC,26.57,26.63,26.21,26.33,30379903.0
2012-08-18,INTC,26.57,26.63,26.21,26.33,30379903.0
2012-08-19,INTC,26.57,26.63,26.21,26.33,30379903.0
2012-08-20,INTC,26.22,26.33,26.1,26.23,25602646.0
2012-08-21,INTC,26.33,26.34,25.99,26.11,31663615.0
2012-08-22,INTC,25.89,26.01,25.66,25.73,33629348.0
2012-08-23,INTC,25.58,25.58,24.93,25.04,51404063.0
2012-08-24,INTC,25.05,25.07,24.7,24.91,45187476.0
2012-08-25,INTC,25.05,25.07,24.7,24.91,45187476.0
2012-08-26,INTC,25.05,25.07,24.7,24.91,45187476.0
2012-08-27,INTC,24.86,24.94,24.75,24.84,34434214.0
2012-08-28,INTC,24.79,25.01,24.68,25.0,33121059.0
2012-08-29,INTC,24.93,24.96,24.54,24.67,60466739.0
2012-08-30,INTC,24.57,24.64,24.15,24.27,37184069.0
2012-08-31,INTC,24.5,25.0,24.48,24.83,43448215.0
2012-09-01,INTC,24.5,25.0,24.48,24.83,43448215.0
2012-09-02,INTC,24.5,25.0,24.48,24.83,43448215.0
2012-09-03,INTC,24.5,25.0,24.48,24.83,43448215.0
2012-09-04,INTC,25.03,25.06,24.27,24.42,40696298.0
2012-09-05,INTC,24.4,24.78,24.19,24.39,38604189.0
2012-09-06,INTC,24.47,25.1,24.46,25.1,40188756.0
2012-09-07,INTC,24.13,24.7,24.01,24.19,86289482.0
2012-09-08,INTC,24.13,24.7,24.01,24.19,86289482.0
2012-09-09,INTC,24.13,24.7,24.01,24.19,86289482.0
2012-09-10,INTC,23.95,24.6,23.17,23.26,80584598.0
2012-09-11,INTC,23.3,23.65,23.2,23.34,54241191.0
2012-09-12,INTC,23.39,23.58,23.06,23.19,44872479.0
2012-09-13,INTC,23.01,23.41,22.83,23.36,52998246.0
2012-09-14,INTC,23.45,23.54,23.23,23.37,47987874.0
2012-09-15,INTC,23.45,23.54,23.23,23.37,47987874.0
2012-09-16,INTC,23.45,23.54,23.23,23.37,47987874.0
2012-09-17,INTC,23.29,23.44,23.16,23.31,36169871.0
2012-09-18,INTC,23.31,23.52,23.14,23.37,41953136.0
2012-09-19,INTC,23.5,23.51,23.14,23.15,39459735.0
2012-09-20,INTC,23.09,23.18,22.99,23.18,33083719.0
2012-09-21,INTC,23.22,23.27,23.01,23.12,56249066.0
2012-09-22,INTC,23.22,23.27,23.01,23.12,56249066.0
2012-09-23,INTC,23.22,23.27,23.01,23.12,56249066.0
2012-09-24,INTC,22.93,22.95,22.52,22.8,48848531.0
2012-09-25,INTC,22.95,22.96,22.51,22.54,49535056.0
2012-09-26,INTC,22.57,22.75,22.48,22.64,49734618.0
2012-09-27,INTC,22.76,23.14,22.65,23.08,43880654.0
2012-09-28,INTC,23.06,23.06,22.59,22.66,47926538.0
2012-09-29,INTC,23.06,23.06,22.59,22.66,47926538.0
2012-09-30,INTC,23.06,23.06,22.59,22.66,47926538.0
2012-10-01,INTC,22.75,23.17,22.68,22.76,55266053.0
2012-10-02,INTC,22.89,23.0,22.66,22.84,36389344.0
2012-10-03,INTC,22.86,22.97,22.49,22.55,49779589.0
2012-10-04,INTC,22.58,22.62,22.27,22.46,52982312.0
2012-10-05,INTC,22.66,22.9,22.58,22.68,38348355.0
2012-10-06,INTC,22.66,22.9,22.58,22.68,38348355.0
2012-10-07,INTC,22.66,22.9,22.58,22.68,38348355.0
2012-10-08,INTC,22.62,22.62,22.4,22.51,29708078.0
2012-10-09,INTC,22.16,22.19,21.85,21.9,66317340.0
2012-10-10,INTC,21.9,22.0,21.7,21.76,47188810.0
2012-10-11,INTC,21.87,21.88,21.52,21.68,36817447.0
2012-10-12,INTC,21.58,21.85,21.4,21.48,46277941.0
2012-10-13,INTC,21.58,21.85,21.4,21.48,46277941.0
2012-10-14,INTC,21.58,21.85,21.4,21.48,46277941.0
2012-10-15,INTC,21.53,21.9,21.5,21.73,49513763.0
2012-10-16,INTC,21.99,22.47,21.95,22.35,80706915.0
2012-10-17,INTC,21.27,21.98,21.26,21.79,99061992.0
2012-10-18,INTC,21.82,21.86,21.6,21.67,42926980.0
2012-10-19,INTC,21.67,21.69,21.22,21.26,55622220.0
2012-10-20,INTC,21.67,21.69,21.22,21.26,55622220.0
2012-10-21,INTC,21.67,21.69,21.22,21.26,55622220.0
2012-10-22,INTC,21.4,21.56,21.3,21.46,36501777.0
