dt,close,sma2,sma3,sma4,sma5,sma6,sma7,sma8,sma9,sma10,sma11,sma12,sma13,sma14,sma15,sma16,roc2,roc3,roc4,roc5,roc6,roc7,roc8,roc9,roc10,roc11,roc12,roc13,roc14,roc15,roc16,sentiment_score2,sentiment_score3,sentiment_score4,sentiment_score5,sentiment_score6,sentiment_score7,sentiment_score8,sentiment_score9,sentiment_score10,sentiment_score11,sentiment_score12,sentiment_score13,sentiment_score14,sentiment_score15,sentiment_score16,long,short
2022-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2022-03-04,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06721549999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2022-03-07,0.0,0.9140624999999802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5215939912372236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032289214285714206,0.05726180952380947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2022-03-08,0.0,0.30508474576272165,0.8474576271186391,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1857707509881465,-0.897141664928014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035760180952380906,0.03291478730158724,0.05148784047619043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2022-03-09,0.329949238578676,0.0,0.19458544839252662,0.7868020304568399,1.0,0.329949238578676,0.329949238578676,0.329949238578676,0.329949238578676,0.329949238578676,0.329949238578676,0.329949238578676,0.329949238578676,0.329949238578676,0.329949238578676,0.329949238578676,-0.10486577181207934,-0.9153318077803174,-0.6259127894846617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019087390476190444,-0.0002734507936507924,0.0066009119047618775,0.0267221295238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2022-03-10,0.0,0.5281306715063533,0.6569872958257622,0.7704174228675084,0.9234119782214041,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7684210526315858,-2.1392617449664475,-2.933222384023304,-2.649697475485091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13520673214285708,-0.07874917698412696,-0.04972327559523809,-0.0343338204761905,-0.010743683730158748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2022-03-11,0.0,0.27693040991420775,0.5850015888147471,0.7173498570066739,0.8207816968541481,0.9331108992691438,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7791307999160306,-3.5157894736842166,-3.88003355704698,-4.659871021427087,-4.381389526392654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1601546607142857,-0.1308833452380952,-0.08962102559523807,-0.06422593476190476,-0.048984278968253976,-0.026671239115646266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2022-03-14,0.0,0.2790243902439065,0.48000000000000154,0.6751219512195138,0.7820487804878068,0.8650406504065048,0.9460627177700356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.843549078439768,-6.781440268738203,-6.526315789473691,-6.879194630872487,-7.634699396713129,-7.364907156269562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07786278571428569,-0.11793277380952379,-0.1065347589285714,-0.07839462047619046,-0.059103112301587296,-0.046770667687074836,-0.027523459226190483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2022-03-15,0.09677419354838364,0.0,0.19276160503540568,0.38709677419354793,0.5952793076317849,0.7238394964594783,0.8278071259975288,0.9287962234461059,1.0,0.09677419354838364,0.09677419354838364,0.09677419354838364,0.09677419354838364,0.09677419354838364,0.09677419354838364,0.09677419354838364,-2.225616408466058,-3.9648521217316657,-5.92063825320176,-5.663157894736837,-6.019295302013417,-6.781776575826914,-6.50949301064051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014951409090909088,-0.05071312987012986,-0.08755303490259739,-0.08451057077922075,-0.06473115342712842,-0.05014749885590599,-0.040476061498917755,-0.024066832443482452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2022-03-16,0.9414225941422617,0.3068340306834085,0.0,0.09588563458856113,0.2691771269177115,0.4974430497443018,0.6475393504682166,0.7758019525801935,0.9057802572446889,1.0,0.9414225941422617,0.9414225941422617,0.9414225941422617,0.9414225941422617,0.9414225941422617,0.9414225941422617,5.022522522522532,1.745581496836146,-0.06429489927131105,-2.099517111064453,-1.8315789473684174,-2.2021812080536884,-2.9956313709174065,-2.712288754433545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009904471590909089,-0.017765981060606062,-0.04388362865259739,-0.07472145292207791,-0.07432466314935063,-0.05882600650896721,-0.046803452123917746,-0.038578179665704676,-0.023999661699134207,0.0,0.0,0.0,0.0,0.0,0.0,1,0
